Sex,Age,2010,2011,2012,2013,2014,2015,2016,2017
0,0,3951454,3962971,3926486,3931208,3954725,3984294,3955377,3939295
0,1,3957695,3966056,3977264,3942441,3948689,3973189,4004017,3975252
0,2,4090616,3970491,3978648,3991295,3958296,3965536,3990991,4021775
0,3,4111682,4101643,3981321,3990699,4005424,3973376,3981326,4006755
0,4,4077326,4121485,4111444,3992298,4003684,4019335,3987866,3995783
0,5,4064480,4087056,4131048,4121794,4004373,4016658,4032787,4001318
0,6,4072889,4074516,4096654,4141144,4133300,4016732,4029444,4045532
0,7,4042967,4082870,4084201,4106863,4152751,4145829,4029700,4042379
0,8,4025495,4052889,4092669,4094674,4118570,4165408,4158968,4042838
0,9,4125317,4035461,4062842,4103296,4106389,4131317,4178605,4172171
0,10,4186959,4135458,4045601,4073237,4115033,4119269,4144625,4191919
0,11,4115452,4197307,4145939,4056173,4085016,4128022,4132611,4157962
0,12,4113239,4126020,4208003,4156759,4067899,4097932,4141353,4145953
0,13,4119585,4124131,4136655,4219019,4169022,4081296,4111886,4155315
0,14,4145490,4131295,4135424,4148560,4232526,4183831,4096727,4127305
0,15,4230902,4158739,4143882,4149009,4164225,4249635,4201611,4114560
0,16,4313090,4247235,4174315,4160427,4167605,4184373,4270670,4222691
0,17,4375125,4333695,4267210,4194548,4182890,4191286,4209213,4295168
0,18,4474425,4386156,4344004,4276385,4207169,4195549,4204110,4219505
0,19,4520730,4471152,4379461,4331693,4269945,4203370,4191372,4199586
0,20,4501064,4536684,4485716,4389397,4347521,4288346,4221448,4210050
0,21,4312385,4520006,4558777,4503115,4410393,4371852,4312907,4245917
0,22,4207857,4335653,4546272,4584324,4530793,4442192,4403367,4344484
0,23,4140397,4238098,4369165,4580390,4620678,4570125,4481373,4443317
0,24,4170147,4172334,4272278,4403974,4618532,4662023,4609590,4521713
0,25,4220626,4200558,4205359,4305470,4439961,4657791,4700193,4647331
0,26,4098198,4248400,4231640,4237101,4339614,4478222,4694014,4737089
0,27,4179511,4124900,4278443,4263138,4271627,4377996,4513850,4730444
0,28,4195291,4203841,4152059,4306629,4295320,4307785,4411532,4547023
0,29,4162951,4216972,4228441,4178046,4335946,4329382,4339031,4442645
0,30,4260809,4182275,4238464,4252066,4205194,4367377,4358702,4367963
0,31,4002821,4277628,4201001,4258535,4275130,4232957,4392317,4384248
0,32,3931356,4017589,4293630,4218559,4278538,4299256,4254976,4414393
0,33,3899700,3944685,4031165,4308823,4236102,4299586,4318866,4274225
0,34,3791049,3911141,3956898,4043995,4324319,4255048,4316894,4336482
0,35,3917170,3801369,3922134,3968445,4057047,4340987,4270080,4331736
0,36,3800184,3925408,3810412,3931772,3979851,4071502,4353511,4282684
